ID,Time[s],Parallel
0,0.0099993,0
1,0.0100189,0
2,0.0100209,0
3,0.0100211,0
4,0.0100214,0
5,0.0100216,0
6,0.0100219,0
7,0.0100221,0
8,0.0100223,0
9,0.0100226,0
10,0.0100228,0
11,0.0100231,0
12,0.0100233,0
13,0.0100235,0
14,0.0100238,0
15,0.010024,0
16,0.0100242,0
17,0.0100245,0
18,0.0100247,0
19,0.010025,0
20,0.0100252,0
21,0.0100254,0
22,0.0100257,0
23,0.0100259,0
24,0.0100262,0
25,0.0100264,0
26,0.0100266,0
27,0.0100269,0
28,0.0100271,0
29,0.0100273,0
30,0.0100276,0
31,0.0100278,0
32,0.0100281,0
33,0.0100283,0
34,0.0100285,0
35,0.0100288,0
36,0.010029,0
37,0.0100293,0
38,0.0100295,0
39,0.0100297,0
40,0.01003,0
41,0.0100302,0
42,0.0100304,0
43,0.0100307,0
44,0.0100309,0
45,0.0100312,0
46,0.0100314,0
47,0.0100316,0
48,0.0100319,0
49,0.0100321,0
50,0.0100324,0
51,0.0100326,0
52,0.0100328,0
53,0.0100331,0
54,0.0100333,0
55,0.0100335,0
56,0.0100338,0
57,0.010034,0
58,0.0100343,0
59,0.0100345,0
60,0.0100347,0
61,0.010035,0
62,0.0100352,0
63,0.0100355,0
64,0.0100357,0
65,0.0100359,0
66,0.0100362,0
67,0.0100364,0
68,0.0100366,0
69,0.0100369,0
70,0.0100371,0
71,0.0100374,0
72,0.0100376,0
73,0.0100378,0
74,0.0100381,0
75,0.0100383,0
76,0.0100386,0
77,0.0100388,0
78,0.010039,0
79,0.0100393,0
80,0.0100395,0
81,0.0100397,0
82,0.01004,0
83,0.0100402,0
84,0.0100405,0
85,0.0100407,0
86,0.0100409,0
87,0.0100412,0
88,0.0100414,0
89,0.0100417,0
90,0.0100419,0
91,0.0100421,0
92,0.0100424,0
93,0.0100426,0
94,0.0100428,0
95,0.0100431,0
96,0.0100433,0
97,0.0100436,0
98,0.0100438,0
99,0.010044,0
100,0.0100443,0
101,0.0100445,0
102,0.0100448,0
103,0.010045,0
104,0.0100452,0
105,0.0100455,0
106,0.0100457,0
107,0.0100459,0
108,0.0100462,0
109,0.0100464,0
110,0.0100467,0
111,0.0100469,0
112,0.0100471,0
113,0.0100474,0
114,0.0100476,0
115,0.0100479,0
116,0.0100481,0
117,0.0100483,0
118,0.0100486,0
119,0.0100488,0
120,0.010049,0
121,0.0100493,0
122,0.0100495,0
123,0.0100498,0
124,0.01005,0
125,0.0100502,0
126,0.0100505,0
127,0.0100507,0
128,0.010051,0
129,0.0100512,0
130,0.0100514,0
131,0.0100517,0
132,0.0100519,0
133,0.0100521,0
134,0.0100524,0
135,0.0100526,0
136,0.0100529,0
137,0.0100531,0
138,0.0100533,0
139,0.0100536,0
140,0.0100538,0
141,0.0100541,0
142,0.0100543,0
143,0.0100545,0
144,0.0100548,0
145,0.010055,0
146,0.0100552,0
147,0.0100555,0
148,0.0100557,0
149,0.010056,0
150,0.0100562,0
151,0.0100564,0
152,0.0100567,0
153,0.0100569,0
154,0.0100572,0
155,0.0100574,0
156,0.0100576,0
